name,nmol,charge,massdiff,oidscore,quasi,ips,formula_add,formula_ded
[M+H]+,1,1,1.007276,1,1,1,H1,FALSE
[2M+H]+,2,1,1.007276,1,0,0.5,H1,FALSE
[3M+H]+,3,1,1.007276,1,0,0.25,H1,FALSE
[M+2H]2+,1,2,2.014552,2,0,0.75,H2,FALSE
[2M+2H]2+,2,2,2.014552,2,0,0.5,H2,FALSE
[3M+2H]2+,3,2,2.014552,2,0,0.25,H2,FALSE
[M+3H]3+,1,3,3.021828,3,0,0.75,H3,FALSE
[2M+3H]3+,2,3,3.021828,3,0,0.5,H3,FALSE
[3M+3H]3+,3,3,3.021828,3,0,0.25,H3,FALSE
[M+H+Na]2+,1,2,23.996494,4,0,0.5,H1Na1,FALSE
[2M+H+Na]2+,2,2,23.996494,4,0,0.5,H1Na1,FALSE
[3M+H+Na]2+,3,2,23.996494,4,0,0.25,H1Na1,FALSE
[M+H+K]2+,1,2,39.970434,5,0,0.5,H1K1,FALSE
[2M+H+K]2+,2,2,39.970434,5,0,0.5,H1K1,FALSE
[3M+H+K]2+,3,2,39.970434,5,0,0.25,H1K1,FALSE
[M+H+NH4]2+,1,2,19.041099,6,0,0.5,NH5,FALSE
[2M+H+NH4]2+,2,2,19.041099,6,0,0.5,NH5,FALSE
[3M+H+NH4]2+,3,2,19.041099,6,0,0.25,N1H5,FALSE
[M+Na]+,1,1,22.989218,7,1,1,Na1,FALSE
[2M+Na]+,2,1,22.989218,7,0,0.5,Na1,FALSE
[3M+Na]+,3,1,22.989218,7,0,0.25,Na1,FALSE
[M+2Na]2+,1,2,45.978436,8,0,0.5,Na2,FALSE
[2M+2Na]2+,2,2,45.978436,8,0,0.5,Na2,FALSE
[3M+2Na]2+,3,2,45.978436,8,0,0.25,Na2,FALSE
[M+K]+,1,1,38.963158,9,1,1,K1,FALSE
[2M+K]+,2,1,38.963158,9,0,0.5,K1,FALSE
[3M+K]+,3,1,38.963158,9,0,0.25,K1,FALSE
[M+Na+K]2+,1,2,61.952376,10,0,0.5,K1Na1,FALSE
[2M+Na+K]2+,2,2,61.952376,10,0,0.5,K1Na1,FALSE
[3M+Na+K]2+,3,2,61.952376,10,0,0.25,K1Na1,FALSE
[M+2K]2+,1,2,77.926316,11,0,0.5,K2,FALSE
[2M+2K]2+,2,2,77.926316,11,0,0.5,K2,FALSE
[3M+2K]2+,3,2,77.926316,11,0,0.25,K2,FALSE
[M+NH4]+,1,1,18.033823,12,1,1,N1H4,FALSE
[2M+NH4]+,2,1,18.033823,12,0,0.5,NH4,FALSE
[3M+NH4]+,3,1,18.033823,12,0,0.25,N1H4,FALSE
[M+2Na-H]+,1,1,44.97116,13,0,0.5,Na2,H1
[2M+2Na-H]+,2,1,44.97116,13,0,0.25,Na1,H1
[3M+2Na-H]+,3,1,44.97116,13,0,0.25,Na1,H1
[M+2K-H]+,1,1,76.91904,14,0,0.5,K2,H1
[2M+2K-H]+,2,1,76.91904,14,0,0.25,K2,H1
[3M+2K-H]+,3,1,76.91904,14,0,0.25,K2,H1
[M+Na+FA]+,1,1,68.994688,15,0,0.25,C1O2H2Na1,FALSE
[M+K+FA]+,1,1,84.968628,16,0,0.25,C1O2H2K1,FALSE
[M+NH4+FA]+,1,1,64.039293,17,0,0.25,C1O1H6N1,FALSE
[M+H+FA]+,1,1,47.012746,18,0,0.25,C1O2H3,FALSE
[M+Na+TFA]+,1,1,156.982218,19,0,0.25,C2F3O2H1Na1,FALSE
[M+K+TFA]+,1,1,172.956158,20,0,0.25,C2F3O2H1K1,FALSE
[M+NH4+TFA]+,1,1,152.026823,21,0,0.25,C2F3O2H5N1,FALSE
[M+H+TFA]+,1,1,135.000276,22,0,0.25,C2F3O2H2,FALSE
[M+2H+Na]3+,1,3,25.00377,24,0,0.25,Na1H2,FALSE
[M+H+2Na]3+,1,3,47.29857,25,0,0.25,Na2H1,FALSE
[M+3Na]3+,1,3,68.96765,26,0,0.25,Na3,FALSE
[M+ACN+2H]2+,1,2,43.0411,27,0,0.25,C2H5N1,FALSE
[M+2ACN+2H]2+,1,2,84.06765,28,0,0.25,C4H8N2,FALSE
[M+3ACN+2H]2+,1,2,125.0942,29,0,0.25,C6H11N3,FALSE
[M+CH3OH+H]+,1,1,33.033489,30,0,0.25,C1H5O1,FALSE
[M+ACN+H]+,1,1,42.033823,31,0,0.25,C2H4N1,FALSE
[2M+ACN+H]+,2,1,42.033823,31,0,0.25,C2H4N1,FALSE
[M+IsoProp+H]+,1,1,61.06534,32,0,0.25,C3H9O1,FALSE
[M+ACN+Na]+,1,1,64.015765,33,0,0.25,C2H3N1Na1,FALSE
[2M+ACN+Na]+,2,1,64.015765,33,0,0.25,C2H3N1Na1,FALSE
[M+DMSO+H]+,1,1,79.02122,34,0,0.25,C2H7S1O1,FALSE
[M+2ACN+H]+,1,1,83.06037,35,0,0.25,C4H7N2,FALSE
[M+IsoProp+Na+H]+,1,1,84.05511,36,0,0.25,C3H9O1Na1,FALSE
[2M+3H2O+2H]+,2,1,28.02312,37,0,0.25,H8O6,FALSE
[M+H-H2O]+,1,1,-17.00274,38,1,1,H1,H2O1
[M-H]-,1,-1,-1.007276,39,1,1,FALSE,H1
[2M-H]-,2,-1,-1.007276,39,0,0.5,FALSE,H1
[3M-H]-,3,-1,-1.007276,39,0,0.5,FALSE,H1
[M-2H]2-,1,-2,-2.014552,40,0,1,FALSE,H2
[2M-2H]2-,2,-2,-2.014552,40,0,0.5,FALSE,H2
[3M-2H]2-,3,-2,-2.014552,40,0,0.5,FALSE,H2
[M-3H]3-,1,-3,-3.021828,41,0,1,FALSE,H3
[2M-3H]3-,2,-3,-3.021828,41,0,0.5,FALSE,H3
[3M-3H]3-,3,-3,-3.021828,41,0,0.5,FALSE,H3
[M-2H+Na]-,1,-1,20.974666,42,0,0.75,Na1,H2
[2M-2H+Na]-,2,-1,20.974666,42,0,0.25,Na1,H2
[3M-2H+Na]-,3,-1,20.974666,42,0,0.25,Na1,H2
[M-H+Cl]2-,1,-2,33.962126,43,0,1,Cl1,H1
[2M-H+Cl]2-,2,-2,33.962126,43,0,0.5,Cl1,H1
[3M-H+Cl]2-,3,-2,33.962126,43,0,0.5,Cl1,H1
[M-2H+K]-,1,-1,36.948606,44,0,0.5,K1,H2
[2M-2H+K]-,2,-1,36.948606,44,0,0.25,K1,H2
[3M-2H+K]-,3,-1,36.948606,44,0,0.25,K1,H2
[M-2H+NH4]-,1,-1,16.019271,45,0,0.25,N1H4,H2
[2M-2H+NH4]-,2,-1,16.019271,45,0,0.25,N1H4,H2
[3M-2H+NH4]-,3,-1,16.019271,45,0,0.25,N1H4,H2
[M+Cl]-,1,-1,34.969402,46,1,1,Cl1,FALSE
[2M+Cl]-,2,-1,34.969402,46,0,0.5,Cl1,FALSE
[3M+Cl]-,3,-1,34.969402,46,0,0.5,Cl1,FALSE
[M+2Cl]2-,1,-2,69.938804,47,0,1,Cl2,FALSE
[2M+2Cl]2-,2,-2,69.938804,47,0,0.5,Cl2,FALSE
[3M+2Cl]2-,3,-2,69.938804,47,0,0.5,Cl2,FALSE
[M+Cl+NaCOOH]-,1,-1,102.956842,48,0,0.5,C1O2H1Na1Cl1,FALSE
[M-H+NaCOOH]-,1,-1,66.980164,49,0,0.5,C1O2H1Na1,H1
[M+Cl+FA]-,1,-1,80.974872,50,0,0.5,C1O2H2Cl1,FALSE
[M-H+FA]-,1,-1,44.998194,51,0,0.5,C1O2H2,H1
[2M+FA-H]-,2,-1,44.998201,51,0,0.25,C1O2H2,H1
[M+Cl+TFA]-,1,-1,168.962402,52,0,0.5,C2F3O2H1Cl1,FALSE
[M-H+TFA]-,1,-1,132.985724,53,0,0.5,C2F3O2H1,H1
[M+Hac-H]-,1,-1,59.013851,54,0,0.25,C2O2H4,H1
[2M+Hac-H]-,2,-1,59.013851,54,0,0.25,C2O2H4,H1
[M-H2O-H]-,1,-1,-19.01839,55,0,0.5,FALSE,H3O1
[M+Br]-,1,-1,78.918885,56,0,0.5,Br1,FALSE
